,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address
0,2024015945,Leaving Scene Property Damage,12/2/2024,5:13,12/1/2024,9:40,,pm Lot P Open,12/02/2024,0
1,2024015564,Contributing To Depend./Neglect,11/22/2024,7:45 AM,11/22/2024,7:46 AM,,Holmes Student Center Referred To,12/03/2024,0
2,2024015971,Leaving Scene Property Damage,12/3/2024,10:52 AM,12/3/2024,0:00 PM,"12/3/2024 Health, Wellness, & Literacy Center Open 12/03/2024",Unknown,12/03/2024,0
3,2024016094,"Tamper w/Sec, Fire, or Life Safety",12/3/2024,6:00 PM,11/27/2024,1:00 PM,,Patterson Hall East Suspended,12/03/2024,0
4,2024016015,Leaving Scene Property Damage,12/4/2024,10:24,12/4/2024,10:24,,am Lot 3 Open,12/04/2024,0
5,2024016027,Leaving Scene Property Damage,12/4/2024,1:23,12/4/2024,1:23,,pm Lot S Suspended,12/04/2024,0
6,2024014844,Unlawful Use Of Weapon,11/9/2024,11:27,11/9/2024,11:27,,pm Holmes Student Center Closed By,12/05/2024,0
7,2024014844,Unauthorized Possession or Storage of,11/9/2024,11:27,11/9/2024,11:27,,Closed By,12/05/2024,Unknown
8,2024016103,Battery,12/5/2024,11:05,12/5/2024,11:05,,am Founders Memorial Library Closed By,12/05/2024,0
9,2024016112,Harassment through Electronic,12/5/2024,2:31,12/5/2024,2:31,,pm Closed By,12/05/2024,0
10,2024016219,Battery,12/7/2024,2:47,12/7/2024,4:35,,am Open,12/07/2024,0
11,2024016248,Criminal Trespass To Real Property,12/7/2024,4:55,12/7/2024,4:55,,pm Recreation Center Suspended,12/07/2024,0
12,2024007759,Criminal Damage To Property,6/20/2024,9:24 AM,6/18/2024,4:30 PM,,Music Building Suspended,12/09/2024,0
13,2024007759,Criminal Trespass To Real Property,6/20/2024,9:24 AM,6/18/2024,4:30 PM,,Suspended,12/09/2024,Unknown
14,2024016342,Battery,12/9/2024,3:57 PM,11/24/2024,12:30 PM,,Culvers 1200 DeKalb Ave,11/24/2024,0
15,2024016343,Theft $500 and Under,12/9/2024,4:43 PM,12/9/2024,3:30 AM,,Neptune North Suspended,12/09/2024,0
16,2024016397,Criminal Damage To Property,12/10/2024,10:46,11/24/2024,12:30,,pm Lot 5 Suspended,12/10/2024,0
17,2024016407,Identity Theft,12/10/2024,4:18,12/9/2024,12:00,,pm Human Resources Open,12/10/2024,0
18,2024016407,Computer Fraud,12/10/2024,4:18,12/9/2024,12:00,,Open,12/10/2024,Unknown
19,2024016432,Possess Cannabis <10,12/10/2024,11:52,12/10/2024,11:45,,pm Closed By,12/10/2024,0
20,2024016471,Battery,12/11/2024,6:18,12/11/2024,6:18,,pm Recreation Center Open,12/11/2024,0
21,2024001670,Theft Over $500,2/7/2024,9:33,2/7/2024,9:33,,pm Grant Complex Suspended,12/13/2024,0
22,2024016551,Battery,12/13/2024,12:41,12/13/2024,12:00,,pm Stevenson South Unfounded,12/13/2024,0
23,2024016560,Theft $500 and Under,12/13/2024,3:36,12/13/2024,3:36,,pm Grant North Open,12/13/2024,0
24,2024011139,Theft $500 and Under,9/3/2024,7:48 PM,9/3/2024,7:45 PM,,Stevenson South Suspended,12/14/2024,0
25,2024016603,Criminal Trespass To Vehicle,12/14/2024,3:27 PM,12/13/2024,5:50 PM,,Lot D Open,12/14/2024,0
26,2024016737,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,11:46 PM,12/14/2024,11:46 PM,,Stevenson Complex Closed By,12/14/2024,0
27,2024016738,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,12:01 PM,12/14/2024,12:01 PM,,Patterson Hall West Closed By,12/14/2024,0
28,2024016739,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,3:30 PM,12/14/2024,3:30 PM,,Stevenson Complex Closed By,12/14/2024,0
29,2024016743,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,4:08 PM,12/14/2024,4:08 PM,,Patterson Hall West Closed By,12/14/2024,0
30,2024016744,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,4:17 PM,12/14/2024,4:17 PM,,Stevenson Complex Closed By,12/14/2024,0
31,2024016745,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,4:50 PM,12/14/2024,4:50 PM,,Stevenson Complex Closed By,12/14/2024,0
32,2024016748,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,4:59 PM,12/14/2024,4:59 PM,,Patterson Hall West Closed By,12/14/2024,0
33,2024016749,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,3:13 PM,12/14/2024,3:13 PM,,Grant Complex Closed By,12/14/2024,0
34,2024016750,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,3:49 PM,12/14/2024,3:49 PM,,Grant Complex Closed By,12/14/2024,0
35,2024016751,Possess Cannabis <10 gm,12/14/2024,7:22 PM,12/14/2024,7:22 PM,,Grant Complex Closed By,12/14/2024,0
36,2024016752,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,12:23 PM,12/14/2024,12:23 PM,,Stevenson Complex Closed By,12/14/2024,0
37,2024016753,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,7:42 PM,12/14/2024,7:42 PM,,Stevenson Complex Closed By,12/14/2024,0
38,2024016755,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,7:46 PM,12/14/2024,7:46 PM,,Grant Complex Closed By,12/14/2024,0
39,2024016756,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,9:52 PM,12/14/2024,9:52 PM,,Stevenson Complex Closed By,12/14/2024,0
40,2024016757,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,1:15 PM,12/14/2024,1:15 PM,,Neptune North Closed By,12/14/2024,0
41,2024016779,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,10:59 PM,12/14/2024,10:59 PM,,Grant Complex Closed By,12/14/2024,0
42,2024016794,Illegal Possession Of Alcohol By Minor,12/14/2024,3:53 PM,12/14/2024,3:53 PM,,Neptune North Closed By,12/14/2024,0
43,2024016655,Criminal Trespass To Vehicle,12/15/2024,2:47 PM,12/15/2024,2:25 PM,,Stevenson South Unfounded,12/15/2024,0
44,2024016742,Illegal Possession Of Alcohol By Minor,12/15/2024,2:35 PM,12/15/2024,2:35 PM,,Patterson Hall East Closed By,12/15/2024,0
45,2024016781,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,3:33 PM,12/15/2024,3:33 PM,,Grant Complex Closed By,12/15/2024,0
46,2024016782,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,10:31 AM,12/15/2024,10:31 AM,,Grant Complex Closed By,12/15/2024,0
47,2024016783,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,1:05 PM,12/15/2024,1:05 PM,,Stevenson Complex Closed By,12/15/2024,0
48,2024016785,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,12:57 PM,12/15/2024,12:57 PM,,Stevenson South Closed By,12/15/2024,0
49,2024016786,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,3:21 PM,12/15/2024,3:21 PM,,Stevenson Complex Closed By,12/15/2024,0
50,2024016792,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,1:04 PM,12/15/2024,1:04 PM,,Neptune West Closed By,12/15/2024,0
51,2024016797,Illegal Possession Of Alcohol By Minor,12/15/2024,11:42 AM,12/15/2024,11:42 AM,,Grant Complex Closed By,12/15/2024,0
52,2024016732,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,1:58 PM,12/16/2024,1:58 PM,,Stevenson Complex Closed By,12/16/2024,0
53,2024016789,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,12:22 AM,12/16/2024,12:22 AM,,Patterson Hall East Closed By,12/16/2024,0
54,2024016791,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,12:30 AM,12/16/2024,12:30 AM,,Patterson Hall East Closed By,12/16/2024,0
55,2024016740,Theft $500 and Under,12/17/2024,12:34,12/17/2024,11:00,,am Swen Parson Suspended,12/17/2024,0
56,2024016762,Theft Over $500,12/17/2024,8:08,12/17/2024,6:30,,pm Music Building Suspended,12/17/2024,0
57,2024016868,Theft $500 and Under,12/19/2024,1:01,12/19/2024,1:01,,pm Neptune North Open,12/19/2024,0
58,2024015140,Theft $500 and Under,11/15/2024,6:17,11/15/2024,6:00,,pm Altgeld Hall Suspended,12/24/2024,0